NBA Western Conference
1,GSW,W,68.0
2,SAS,W,63.0
3,HOU,W,57.0
4,OKC,W,57.0
5,LAC,W,56.0
6,UTA,W,52.0
7,DAL,W,45.0
8,POR,W,40.0
9,DEN,W,31.0
10,MEM,W,27.0
11,MIN,W,27.0
12,NOP,W,25.0
13,SAC,W,25.0
14,PHX,W,21.0
15,LAL,W,13.0

NBA Eastern Conference
1,CLE,E,62.0
2,ATL,E,59.0
3,CHA,E,59.0
4,MIA,E,58.0
5,TOR,E,54.0
6,WAS,E,48.0
7,BOS,E,45.0
8,IND,E,44.0
9,DET,E,43.0
10,CHI,E,36.0
11,MIL,E,30.0
12,NYK,E,30.0
13,ORL,E,29.0
14,BRK,E,19.0
15,PHI,E,10.0
Number of Simulations: ,10000
